	DS40	HA41	HA42	HA43	HA44	HA45	HA46	HA47	HA50	HG56	DS31	HG57	LG74	LG75	LG76	LG77	LN71	LN72	LN73	MB10	MB1	DS32	MB3	MB4	MB5	MB6	MB7	MB8	MFB16	MFB17	MFB18	MFB19	DS33	MFB20	MFB26	MFB27	MFB28	MFB29	MFB30	MFR11	MFR12	MFR13	MFR14	DS34	MFR15	MFR21	MFR22	MFR23	MFR24	MFR25	NC68	DS35	DS36	DS37	DS38	DS39
ASV_39	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	7190	4856	4877	93	7904	7	290	6467	3657	97	114	0	0	0	0	7	32	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	22	0	0	0	0
ASV_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	33	0	0	706	0	0	141	44	2905	2061	2480	2384	0	3077	6269	2272	1573	5350	3693	0	0	0	0	0	0
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	5351	7236	10156	9860	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3811	3408	5136	2320	0	4370	929	1084	323	945	804	476	1205	1533	311	0	1940	283	274	286	2119	539	0	0	0	0	0	0
ASV_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3761	2923	2877	4455	0	2396	1770	3465	3955	1738	3963	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4252	1620	732	1329	0	308	0	0	0	0	0	5888	3781	4547	2897	0	4759	0	0	80	189	187	0	0	0	0	0	0
ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	3487	1369	1405	1339	0	2170	3532	3155	2201	6309	5035	0	0	0	0	0	0
ASV_46	0	258	1009	327	450	766	140	134	283	0	0	0	0	0	0	0	5834	3107	2817	333	4001	0	54	5724	2970	390	443	264	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2160	2201	1321	1847	0	1316	2600	4041	6589	2423	4641	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	571	187	93	3479	0	56	3454	2117	1720	146	12762	1225	1110	404	517	0	670	33	0	24	29	0	0	0	0	0	0	0
